Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M07,C02,PIWM07C02,PIWM07C02,09/12/2013,09/13/2013,2,1189,1215,2,10,Construct,,,,
P,IW,M07,C01,PIWM07C01,PIWM07C01,09/23/2013,10/12/2013,20,439,453,4,35,Construct,Code 02.,"Joining ""C01"" and ""C01 b"" as ""C01"". ",Code 02a.,P-P-S-4231-0002
P,IW,M07,W05,PIWM07W05,PIWM07W05,11/16/2013,11/26/2013,11,286,277,4,23,Construct,Code 02.,"Joining lifts ""W05a"", ""W05b"" and ""W05 b ( 1st stage)"" under the name of  ""W05"".",Code 02a.,P-P-S-4231-0002
P,IW,M07,W04,PIWM07W04,PIWM07W04,12/19/2013,06/11/2014,175,438,436,2,26,Construct,,,,
P,IW,M07,W03,PIWM07W03,PIWM07W03,07/07/2014,07/08/2014,2,420,392,2,27,Construct,,,,
P,IW,M07,W02,PIWM07W02,PIWM07W02,08/04/2014,08/04/2014,1,219,221,1,114,Construct,,,,
P,IW,M07,W01,PIWM07W01,PIWM07W01,11/26/2014,11/26/2014,1,122,117,1,-667,Construct,,,,
P,IE,M01,F02,PIEM01F02,PIEM01F02,01/28/2013,01/29/2013,2,1877,1691,2,8,Construct,,,,
P,IE,M01,F01,PIEM01F01,PIEM01F01,02/06/2013,02/07/2013,2,1160,1065,2,21,Construct,,,,
P,IE,M01,C06,PIEM01C06,PIEM01C06,02/28/2013,03/01/2013,2,632,642,2,8,Construct,,,,
P,IE,M01,P1-03,PIEM01P1-03,PIEM01P1-03,03/09/2013,03/09/2013,1,64,82,1,24,Construct,,,,
P,IE,M01,C05,PIEM01C05,PIEM01C05,04/02/2013,04/03/2013,2,596,591,2,7,Construct,,,,
P,IE,M01,C04,PIEM01C04,PIEM01C04,04/10/2013,04/10/2013,1,408,403,1,63,Construct,,,,
P,IE,M01,P1-02,PIEM01P1-02,PIEM01P1-02,06/12/2013,06/12/2013,1,94,81,1,12,Construct,,,,
P,IE,M01,P1-01,PIEM01P1-01,PIEM01P1-01,06/24/2013,06/24/2013,1,76,44,1,66,Construct,,,,
P,IE,M01,C03,PIEM01C03,PIEM01C03,08/29/2013,09/27/2013,30,328,454,2,91,Construct,Code 02.,"Joining lifts ""C03 a"" and ""C03 b"" under the name of  ""C03"".",Code 02a.,P-P-S-4236-0002
P,IE,M01,C02,PIEM01C02,PIEM01C02,12/27/2013,01/02/2014,7,395,369,2,27,Construct,Code 02.,"Joining lifts ""C02"" and ""C02b ( 2nd stage)"" under the name of  ""C02"".",Code 02a.,P-P-S-4236-0002
P,IE,M01,C01,PIEM01C01,PIEM01C01,01/29/2014,01/29/2014,1,465,462,1,54,Construct,,,,
P,IE,M01,W05,PIEM01W05,PIEM01W05,03/24/2014,03/24/2014,1,385,356,1,22,Construct,,,,
P,IE,M01,W04,PIEM01W04,PIEM01W04,04/15/2014,04/15/2014,1,747,757,1,34,Construct,,,,
P,IE,M01,W03,PIEM01W03,PIEM01W03,05/19/2014,05/19/2014,1,730,746,1,16,Construct,,,,
P,IE,M01,W02,PIEM01W02,PIEM01W02,06/04/2014,06/05/2014,2,586,554,2,166,Construct,,,,
P,IE,M01,W01,PIEM01W01,PIEM01W01,11/18/2014,11/19/2014,2,388,391,2,-672,Construct,,,,
P,IE,M02,F02,PIEM02F02,PIEM02F02,01/16/2013,01/17/2013,2,1361,1278,2,4,Construct,,,,
P,IE,M02,F01,PIEM02F01,PIEM02F01,01/21/2013,01/22/2013,2,1432,1285,2,31,Construct,,,,
P,IE,M02,C06,PIEM02C06,PIEM02C06,02/22/2013,02/23/2013,2,504,493,2,5,Construct,,,,
P,IE,M02,P2-03,PIEM02P2-03,PIEM02P2-03,02/28/2013,05/29/2013,91,80,114,2,-75,Construct,Code 02.,"Joining lifts ""P02-03"" and ""F02->P02-03"" under the name of ""P02-03"".",Code 02a.,P-P-S-4241-0002
P,IE,M02,P1-02,PIEM02P1-02,PIEM02P1-02,03/15/2013,03/15/2013,1,160,173,1,33,Construct,,,,
P,IE,M02,C05,PIEM02C05,PIEM02C05,04/17/2013,04/18/2013,2,489,460,2,83,Construct,,,,
